,Category,Portion Size,per 100 gms
1,Rice (egg-fried),500,200
2,Rice ( Brown ),405,135
3,Rice cakes,28,373
4,Ryvita Multi grain,37,331
5,Ryvita + seed & Oats,180,362
6,Spaghetti (boiled),303,101
