,Category,Portion Size,per 100 gms
1,Orange large 350g,100,22
2,Papaya Diced (small handful),67,17
3,Passion Fruit,30,3
4,Paw Paw,28,6
5,Peach,35,7
6,Pear,45,12
7,Pineapple,50,12
8,Plum,25,6
9,Prunes,9,22
10,Raisins,5,14
11,Raspberries each,11,02
12,Rhubarb,8,08
13,Satsuma one average 112g,29,65
14,Satsumas 100g,35,85
15,Strawberries (1 average),27,06
16,Sultanas,5,14
17,Tangerine,26,6
18,Tomatoes (1 average size),9,22
19,Tomatoes Cherry (1 average size),2,05
